Marca,Modelo,Año,Versión,Color,Tipo de combustible,Transmisión,Motor,Kilómetros,Precio,Moneda,Tipo de vendedor,Cilindros,Turbo
Peugeot,2008,2019.0,1.6 Thp Sport,blanco,Nafta,Manual,1.6,105000,15499.0,U$S,particular,1,0
Peugeot,2008,2022.0,1.6 Thp Sport Tip,blanco,Nafta,Automática,1.6,71000,18660.29,U$S,tienda,1,0
Peugeot,2008,2019.0,1.6 Feline,blanco,Nafta,Manual,1.6,80000,18350.0,U$S,concesionaria,1,0
Peugeot,2008,2017.0,1.6 Feline,blanco,Nafta,Manual,1.6,74000,7559.81,U$S,concesionaria,1,0
Peugeot,2008,2022.0,1.6 Thp Sport Tip,blanco,Nafta,Automática,1.6,61230,18181.82,U$S,tienda,1,0
Peugeot,2008,2017.0,1.6 Allure,plata,Nafta,Manual,1.6,85014,13200.0,U$S,particular,1,0
Peugeot,2008,2018.0,1.6 Allure,gris,Nafta,Manual,1.6,56000,13800.0,U$S,concesionaria,1,0
Peugeot,2008,2017.0,1.6 Allure Tip,marrón,Nafta,Automática,1.6,62000,12248.8,U$S,tienda,1,0
Peugeot,2008,2018.0,1.6 Allure Tip,gris,Nafta,Automática,1.6,81000,13800.0,U$S,particular,1,0
Peugeot,2008,2016.0,1.6 Allure,blanco,Nafta,Manual,1.6,97000,12000.0,U$S,concesionaria,1,0
Peugeot,2008,2018.0,1.6 Thp Sport,blanco,Nafta,Manual,1.6,115000,11291.87,U$S,particular,1,0
Peugeot,2008,2018.0,1.6 Allure,negro,Nafta,Manual,1.6,94000,12430.53,U$S,concesionaria,1,0
Peugeot,2008,2020.0,1.6 Thp Sport am20,marrón,Nafta,Manual,1.6,31000,21000.0,U$S,particular,1,0
Peugeot,2008,2022.0,1.6 Thp Sport Tip,blanco,Nafta,Automática,1.6,58000,18181.82,U$S,tienda,1,0
Peugeot,2008,2017.0,1.6 Feline,blanco,Nafta,Manual,1.6,140000,15550.24,U$S,concesionaria,1,0
Peugeot,2008,2019.0,1.6 Thp Sport,blanco,Nafta,Manual,1.6,92000,16746.41,U$S,concesionaria,1,0
Peugeot,2008,2016.0,1.6 Thp Sport,blanco,Nafta,Manual,1.6,122000,9760.76,U$S,particular,1,0
Peugeot,2008,2016.0,1.6 Allure,blanco,Nafta,Manual,1.6,107000,14162.68,U$S,concesionaria,1,0
Peugeot,2008,2023.0,1.6 Feline,plata,Nafta,Manual,1.6,11190,24800.0,U$S,particular,1,0
Peugeot,2008,2019.0,1.6 Crossway,blanco,Nafta,Manual,1.6,53117,15215.31,U$S,concesionaria,1,0
Peugeot,2008,2019.0,1.6 Feline,gris,Nafta,Manual,1.6,58000,16172.25,U$S,concesionaria,1,0
Peugeot,2008,2017.0,1.6 Thp Sport,blanco,Nafta,Manual,1.6,100000,12800.0,U$S,particular,1,0
Peugeot,2008,2021.0,1.6 Thp Sport Tip,plata,Nafta,Automática,1.6,58000,19500.0,U$S,particular,1,0
Peugeot,2008,2021.0,1.6 Allure,blanco,Nafta,Manual,1.6,24900,16181.82,U$S,concesionaria,1,0
Peugeot,2008,2018.0,1.6 Feline,blanco,Nafta,Manual,1.6,48003,16500.0,U$S,concesionaria,1,0
Peugeot,2008,2022.0,1.6 Feline Tip,blanco,Nafta,Automática,1.6,27000,21531.1,U$S,tienda,1,0
Peugeot,2008,2017.0,1.6 Feline,gris,Nafta,Manual,1.6,49000,15000.0,U$S,concesionaria,1,0
Peugeot,2008,2020.0,1.6 FELINE L/19 TIPTRONIC,gris,Nafta,Automática,1.6,47520,16976.08,U$S,tienda,1,0
Peugeot,2008,2022.0,1.6 THP SPORT TIPTRONIC,blanco,Nafta,Automática,1.6,17219,20985.65,U$S,tienda,1,0
Peugeot,2008,2016.0,1.6 FELINE MT 4x2,plata,Nafta,Manual,1.6,51000,12813.4,U$S,tienda,1,0
Peugeot,2008,2022.0,1.6 Féline Mt,gris,Nafta,Manual,1.6,21271,20574.16,U$S,tienda,1,0
Peugeot,2008,2018.0,1.6 THP SPORT MT,blanco,Nafta,Manual,1.6,47300,15148.33,U$S,tienda,1,0
Peugeot,2008,2021.0,1.6 In Concert,rojo,Nafta,Manual,1.6,44000,18950.0,U$S,concesionaria,1,0
Peugeot,2008,2024.0,1.6 Feline Tip,plata,Nafta,Automática,1.6,0,15311.0,U$S,concesionaria,1,0
Peugeot,2008,2016.0,1.6 ACTIVE MT 4x2,gris,Nafta,Manual,1.6,55598,11799.04,U$S,tienda,1,0
Peugeot,2008,2016.0,1.6 Allure,gris,Nafta,Manual,1.6,95000,13500.0,U$S,concesionaria,1,0
Peugeot,2008,2017.0,1.6 Féline Mt,plata,Nafta,Manual,1.6,76085,12861.24,U$S,tienda,1,0
Peugeot,2008,2019.0,1.6 Allure,gris,Nafta,Manual,1.6,67000,15789.47,U$S,concesionaria,1,0
Peugeot,2008,2019.0,1.6 Feline Tiptronic,gris,Nafta,Automática,1.6,69784,14937.8,U$S,tienda,1,0
Peugeot,2008,2021.0,1.6 Allure,marrón,Nafta,Manual,1.6,17500,18947.37,U$S,tienda,1,0
Peugeot,2008,2018.0,1.6 Allure Mt,blanco,Nafta,Manual,1.6,97442,10832.54,U$S,tienda,1,0
Peugeot,2008,2022.0,1.6 Feline,gris,Nafta,Manual,1.6,69000,20497.61,U$S,tienda,1,0
Peugeot,2008,2018.0,1.6 Active,blanco,Nafta,Manual,1.6,88000,13732.06,U$S,concesionaria,1,0
Peugeot,2008,2022.0,1.6 Thp Sport Tip,blanco,Nafta,Automática,1.6,8000,22000.0,U$S,concesionaria,1,0
Peugeot,2008,2017.0,1.6 Thp Sport,gris,Nafta,Manual,1.6,129800,12500.0,U$S,concesionaria,1,0
Peugeot,2008,2018.0,1.6 THP SPORT MT,blanco,Nafta,Manual,1.6,14380,16679.43,U$S,tienda,1,0
Peugeot,2008,2021.0,1.6 Feline,plata,Nafta,Manual,1.6,13000,19800.0,U$S,concesionaria,1,0
Peugeot,2008,2019.0,1.6 Thp Sport,marrón,Nafta,Manual,1.6,25000,17703.25,U$S,tienda,1,0
Peugeot,2008,2017.0,1.6 Allure Tip,gris,Nafta,Automática,1.6,50520,13200.0,U$S,concesionaria,1,0
Peugeot,2008,2020.0,1.6 ALLURE L/19 MT,blanco,Nafta,Manual,1.6,16835,17502.39,U$S,tienda,1,0
Peugeot,2008,2016.0,1.6 Allure Tip,marrón,Nafta,Automática,1.6,80100,12700.0,U$S,concesionaria,1,0
Peugeot,2008,2019.0,1.6 Thp Sport,plata,Nafta,Manual,1.6,63200,16555.02,U$S,tienda,1,0
Peugeot,2008,2020.0,1.6 In Concert Tiptronic,plata,Nafta,Automática,1.6,78406,16500.0,U$S,concesionaria,1,0
Peugeot,2008,2022.0,1.6 Thp Sport Tip,blanco,Nafta,Automática,1.6,8910,26000.0,U$S,concesionaria,1,0
Peugeot,2008,2018.0,1.6 Allure,blanco,Nafta,Manual,1.6,79000,13205.74,U$S,concesionaria,1,0
Peugeot,2008,2017.0,1.6 Allure,blanco,Nafta,Manual,1.6,87000,12440.19,U$S,concesionaria,1,0
Peugeot,2008,2021.0,1.6 Feline am20,blanco,Nafta,Manual,1.6,56000,19999.04,U$S,concesionaria,1,0
Peugeot,2008,2016.0,1.6 Feline,gris,Nafta/GNC,Manual,1.6,102000,12926.32,U$S,concesionaria,1,0
Peugeot,2008,2021.0,1.6 Allure am20,gris,Nafta,Manual,1.6,43000,17400.0,U$S,particular,1,0
Peugeot,2008,2020.0,1.6 Thp Sport Tip,marrón,Nafta,Automática,1.6,45352,18500.0,U$S,concesionaria,1,0
Peugeot,2008,2022.0,1.6 Thp Sport Tip,blanco,Nafta,Automática,1.6,6000,22500.0,U$S,concesionaria,1,0
Peugeot,2008,2019.0,1.6 Feline,blanco,Nafta,Manual,1.6,48000,14300.0,U$S,concesionaria,1,0
Peugeot,2008,2017.0,1.6 Thp Sport,blanco,Nafta,Manual,1.6,136000,11961.72,U$S,concesionaria,1,0
Peugeot,2008,2016.0,1.6 Thp Sport,negro,Nafta,Manual,1.6,99000,10999.0,U$S,concesionaria,1,0
Peugeot,2008,2018.0,1.6 Feline,gris,Nafta,Manual,1.6,51780,17500.0,U$S,concesionaria,1,0
Peugeot,2008,2020.0,1.6 Allure,blanco,Nafta,Manual,1.6,23603,18181.82,U$S,tienda,1,0
Peugeot,2008,2020.0,1.6 Thp Sport Tip,blanco,Nafta,Automática,1.6,61000,18851.67,U$S,concesionaria,1,0
Peugeot,2008,2017.0,1.6 Thp In Concert,plata,Nafta,Manual,1.6,110000,11387.56,U$S,concesionaria,1,0
Peugeot,2008,2016.0,1.6 Thp Sport,negro,Nafta,Manual,1.6,101000,11004.78,U$S,concesionaria,1,0
Peugeot,2008,2024.0,1.6 Feline,gris,Nafta,Manual,1.6,0,14354.07,U$S,concesionaria,1,0
Peugeot,2008,2019.0,1.6 Feline,negro,Nafta,Manual,1.6,49000,18100.0,U$S,concesionaria,1,0
Peugeot,2008,2017.0,1.6 Allure Tip,plata,Nafta,Automática,1.6,58000,7655.5,U$S,tienda,1,0
Peugeot,2008,2018.0,1.6 Feline,blanco,Nafta,Manual,1.6,49500,14246.89,U$S,concesionaria,1,0
Peugeot,2008,2017.0,1.6 Feline,gris,Nafta,Manual,1.6,90000,7177.03,U$S,concesionaria,1,0
Peugeot,2008,2022.0,1.6 Feline,negro,Nafta,Manual,1.6,44500,21617.22,U$S,concesionaria,1,0
Peugeot,2008,2019.0,1.6 Feline,blanco,Nafta,Manual,1.6,60000,16459.33,U$S,concesionaria,1,0
Peugeot,2008,2019.0,1.6 Feline Tip,blanco,Nafta,Automática,1.6,82000,16746.41,U$S,concesionaria,1,0
Peugeot,2008,2022.0,1.6 Thp Sport,blanco,Nafta,Manual,1.6,25200,20700.0,U$S,concesionaria,1,0
Peugeot,2008,2022.0,1.6 Feline Tip,blanco,Nafta,Automática,1.6,26235,20765.55,U$S,concesionaria,1,0
Peugeot,2008,2017.0,1.6 Allure,gris,Nafta,Manual,1.6,75000,12535.89,U$S,concesionaria,1,0
Peugeot,2008,2017.0,1.6 Feline,plata,Nafta,Manual,1.6,90000,9569.38,U$S,concesionaria,1,0
Peugeot,2008,2020.0,1.6 Allure,blanco,Nafta,Manual,1.6,36000,17800.0,U$S,concesionaria,1,0
Peugeot,2008,2017.0,1.6 Thp Sport,blanco,Nafta,Manual,1.6,101000,12300.0,U$S,concesionaria,1,0
Peugeot,2008,2020.0,1.6 FELINE TIPTRONIC L19,gris,Nafta,Automática,1.6,49900,18947.37,U$S,tienda,1,0
