Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Kilómetros,Título,Precio,Moneda,Tipo de vendedor
Peugeot,2008,2021.0,1.6 In Concert,Blanco,Nafta,5.0,Manual,1.6,36917 km,Peugeot 2008 1.6 In Concert,18181.82,U$S,tienda
Peugeot,2008,2019.0,1.6 Allure,Blanco,Nafta,5.0,Manual,1.6,130000 km,Peugeot 2008 1.6 Allure,14210.53,U$S,tienda
Peugeot,2008,2019.0,1.6 Feline Tip,Marrón,Nafta,5.0,Automática,1.6,98000 km,Peugeot 2008 1.6 Feline Tip,16100.0,U$S,concesionaria
Peugeot,2008,2018.0,1.6 Allure,Plateado,Nafta,5.0,Manual,1.6,113565 km,Peugeot 2008 1.6 Allure,12517.7,U$S,tienda
Peugeot,2008,2021.0,1.6 Allure,Plateado,Nafta,5.0,Manual,1.6,45000 km,Peugeot 2008 1.6 Allure,7177.03,U$S,concesionaria
Peugeot,2008,2020.0,1.6 Feline am20,Gris,Nafta,5.0,Manual,1.6,27700 km,Peugeot 2008 1.6 Feline am20,17703.35,U$S,concesionaria
Peugeot,2008,2021.0,1.6 Feline,Rojo,Nafta,5.0,Manual,1.6,42000 km,Peugeot 2008 1.6 Feline,19138.76,U$S,concesionaria
Peugeot,2008,2022.0,1.6 Feline,Plateado,Nafta,5.0,Manual,1.6,50208 km,Peugeot 2008 1.6 Feline,20095.69,U$S,tienda
Peugeot,2008,2020.0,1.6 Allure,Gris,Nafta,5.0,Manual,1.6,78000 km,Peugeot 2008 1.6 Allure,17129.19,U$S,tienda
Peugeot,2008,2021.0,1.6 Allure,Gris,Nafta,5.0,Manual,1.6,49000 km,Peugeot 2008 1.6 Allure,18181.82,U$S,concesionaria
Peugeot,2008,2021.0,1.6 Allure,Blanco,Nafta,5.0,Manual,1.6,23800 km,Peugeot 2008 1.6 Allure,19043.06,U$S,concesionaria
Peugeot,2008,2017.0,1.6 Allure Tip,Gris,Nafta,5.0,Automática,1.6,62000 km,Peugeot 2008 1.6 Allure Tip,12248.8,U$S,tienda
Peugeot,2008,2018.0,1.6 FELINE TIPTRONIC AT,Blanco,Nafta,5.0,Automática,1.6,130000 km,Peugeot 2008 1.6 FELINE TIPTRONIC AT,13397.13,U$S,concesionaria
Peugeot,2008,2022.0,1.6 Feline Tip,Negro,Nafta,5.0,Automática,1.6,25900 km,Peugeot 2008 1.6 Feline Tip,22679.43,U$S,concesionaria
Peugeot,2008,2021.0,1.6 Allure,Gris,Nafta,5.0,Manual,1.6,99200 km,Peugeot 2008 1.6 Allure,13397.13,U$S,tienda
Peugeot,2008,2020.0,CONCERT 1.6 THP TIPTRONIC AM20,Gris,Nafta,4.0,Automática,1.6,31908 km,Peugeot 2008 CONCERT 1.6 THP TIPTRONIC AM20,19712.92,U$S,concesionaria
Peugeot,2008,2019.0,1.6 Thp Sport,Blanco,Nafta,5.0,Manual,1.6,105000 km,Peugeot 2008 1.6 Thp Sport,15499.0,U$S,particular
Peugeot,2008,2022.0,1.6 Thp Sport Tip,Blanco,Nafta,5.0,Automática,1.6,71000 km,Peugeot 2008 1.6 Thp Sport Tip,18660.29,U$S,tienda
