Marca,Modelo,Año,Versión,Color,Tipo de combustible,Transmisión,Motor,Kilómetros,Título,Precio,Moneda,Tipo de vendedor
Peugeot,2008,2018.0,1.6 Allure,Plateado,Nafta,Manual,1.6,113565,Peugeot 2008 1.6 Allure,12517.7,U$S,tienda
Peugeot,2008,2021.0,1.6 Allure,Plateado,Nafta,Manual,1.6,45000,Peugeot 2008 1.6 Allure,7177.03,U$S,concesionaria
Peugeot,2008,2020.0,1.6 Feline am20,Gris,Nafta,Manual,1.6,27700,Peugeot 2008 1.6 Feline am20,17703.35,U$S,concesionaria
Peugeot,2008,2021.0,1.6 Feline,Rojo,Nafta,Manual,1.6,42000,Peugeot 2008 1.6 Feline,19138.76,U$S,concesionaria
Peugeot,2008,2022.0,1.6 Feline,Plateado,Nafta,Manual,1.6,50208,Peugeot 2008 1.6 Feline,20095.69,U$S,tienda
Peugeot,2008,2020.0,1.6 Allure,Gris,Nafta,Manual,1.6,78000,Peugeot 2008 1.6 Allure,17129.19,U$S,tienda
Peugeot,2008,2021.0,1.6 Allure,Gris,Nafta,Manual,1.6,49000,Peugeot 2008 1.6 Allure,18181.82,U$S,concesionaria
Peugeot,2008,2021.0,1.6 Allure,Blanco,Nafta,Manual,1.6,23800,Peugeot 2008 1.6 Allure,19043.06,U$S,concesionaria
Peugeot,2008,2017.0,1.6 Allure Tip,Gris,Nafta,Automática,1.6,62000,Peugeot 2008 1.6 Allure Tip,12248.8,U$S,tienda
Peugeot,2008,2018.0,1.6 FELINE TIPTRONIC AT,Blanco,Nafta,Automática,1.6,130000,Peugeot 2008 1.6 FELINE TIPTRONIC AT,13397.13,U$S,concesionaria
Peugeot,2008,2022.0,1.6 Feline Tip,Negro,Nafta,Automática,1.6,25900,Peugeot 2008 1.6 Feline Tip,22679.43,U$S,concesionaria
Peugeot,2008,2021.0,1.6 Allure,Gris,Nafta,Manual,1.6,99200,Peugeot 2008 1.6 Allure,13397.13,U$S,tienda
Peugeot,2008,2020.0,CONCERT 1.6 THP TIPTRONIC AM20,Gris,Nafta,Automática,1.6,31908,Peugeot 2008 CONCERT 1.6 THP TIPTRONIC AM20,19712.92,U$S,concesionaria
Peugeot,2008,2019.0,1.6 Thp Sport,Blanco,Nafta,Manual,1.6,105000,Peugeot 2008 1.6 Thp Sport,15499.0,U$S,particular
Peugeot,2008,2022.0,1.6 Thp Sport Tip,Blanco,Nafta,Automática,1.6,71000,Peugeot 2008 1.6 Thp Sport Tip,18660.29,U$S,tienda
Peugeot,2008,2019.0,1.6 Feline,Blanco,Nafta,Manual,1.6,80000,Peugeot 2008 1.6 Feline,18350.0,U$S,concesionaria
Peugeot,2008,2017.0,1.6 Feline,Blanco,Nafta,Manual,1.6,74000,Peugeot 2008 1.6 Feline,7559.81,U$S,concesionaria
Peugeot,2008,2022.0,1.6 Thp Sport Tip,Blanco,Nafta,Automática,1.6,61230,Peugeot 2008 1.6 Thp Sport Tip,18181.82,U$S,tienda
Peugeot,2008,2018.0,1.6 Allure,,Nafta,Manual,1.6,43000,Peugeot 2008 1.6 Allure,13800.0,U$S,particular
Peugeot,2008,2017.0,1.6 Allure,Plateado,Nafta,Manual,1.6,85014,Peugeot 2008 1.6 Allure,13200.0,U$S,particular
