Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Título,Precio,Moneda,Tipo de vendedor,Con cámara de retroceso
Peugeot,2008,2018.0,1.6 Feline Tip,Gris,Nafta,5.0,Automática,1.6,SUV,61000 km,Peugeot 2008 1.6 Feline Tip,14500.0,U$S,concesionaria,
Peugeot,2008,2016.0,1.6 Thp Sport,,Nafta,5.0,Manual,1.6,SUV,78000 km,Peugeot 2008 1.6 Thp Sport,12900.0,U$S,concesionaria,
Peugeot,2008,2021.0,1.6 In Concert,Blanco,Nafta,5.0,Manual,1.6,SUV,36917 km,Peugeot 2008 1.6 In Concert,17272.73,U$S,tienda,
Peugeot,2008,2019.0,1.6 Allure,Blanco,Nafta,5.0,Manual,1.6,SUV,130000 km,Peugeot 2008 1.6 Allure,13500.0,U$S,tienda,
Peugeot,2008,2019.0,1.6 Feline Tip,Marrón,Nafta,5.0,Automática,1.6,SUV,98000 km,Peugeot 2008 1.6 Feline Tip,16100.0,U$S,concesionaria,
Peugeot,2008,2018.0,1.6 Allure,Plateado,Nafta,5.0,Manual,1.6,SUV,113565 km,Peugeot 2008 1.6 Allure,11891.82,U$S,tienda,
Peugeot,2008,2021.0,1.6 Allure,Plateado,Nafta,5.0,Manual,1.6,SUV,45000 km,Peugeot 2008 1.6 Allure,6818.18,U$S,concesionaria,
Peugeot,2008,2020.0,1.6 Feline am20,Gris,Nafta,5.0,Manual,1.6,SUV,27700 km,Peugeot 2008 1.6 Feline am20,16818.18,U$S,concesionaria,
Peugeot,2008,2021.0,1.6 Feline,Rojo,Nafta,5.0,Manual,1.6,SUV,42000 km,Peugeot 2008 1.6 Feline,18181.82,U$S,concesionaria,
Peugeot,2008,2022.0,1.6 Feline,Plateado,Nafta,5.0,Manual,1.6,SUV,50208 km,Peugeot 2008 1.6 Feline,19090.91,U$S,tienda,
Peugeot,2008,2020.0,1.6 Allure,Gris,Nafta,5.0,Manual,1.6,SUV,78000 km,Peugeot 2008 1.6 Allure,16272.73,U$S,tienda,
Peugeot,2008,2021.0,1.6 Allure,Gris,Nafta,5.0,Manual,1.6,SUV,49000 km,Peugeot 2008 1.6 Allure,17272.73,U$S,concesionaria,
