Marca,Modelo,Año,Color,Tipo de combustible,Transmisión,Motor,Kilómetros,Precio,Tipo de vendedor,Edad,Km promedio por año,Cilindros,Turbo
Peugeot,2008,2019.0,blanco,Nafta,Manual,1.6,80000,18350.0,concesionaria,5.0,16000.0,1,0
Peugeot,2008,2017.0,blanco,Nafta,Manual,1.6,74000,8315.79,concesionaria,7.0,10571.0,1,0
Peugeot,2008,2022.0,blanco,Nafta,Automática,1.6,61230,20000.0,tienda,2.0,30615.0,1,0
Peugeot,2008,2018.0,blanco,Nafta,Manual,1.6,43000,13800.0,particular,6.0,7166.0,1,0
Peugeot,2008,2017.0,plata,Nafta,Manual,1.6,85014,13200.0,particular,7.0,12144.0,1,0
Peugeot,2008,2018.0,gris,Nafta,Manual,1.6,56000,13800.0,concesionaria,6.0,9333.0,1,0
Peugeot,2008,2017.0,marrón,Nafta,Automática,1.6,62000,13473.68,tienda,7.0,8857.0,1,0
Peugeot,2008,2017.0,negro,Nafta,Manual,1.6,71600,13000.0,particular,7.0,10228.0,1,0
Peugeot,2008,2017.0,gris,Nafta,Manual,1.6,115000,11578.95,concesionaria,7.0,16428.0,1,0
Peugeot,2008,2018.0,blanco,Nafta,Manual,1.6,59000,14900.0,particular,6.0,9833.0,1,0
Peugeot,2008,2018.0,gris,Nafta,Automática,1.6,81000,13800.0,particular,6.0,13500.0,1,0
Peugeot,2008,2016.0,plata,Nafta,Manual,1.6,96000,14210.53,particular,8.0,12000.0,1,0
Peugeot,2008,2016.0,blanco,Nafta,Manual,1.6,97000,12000.0,concesionaria,8.0,12125.0,1,0
Peugeot,2008,2018.0,blanco,Nafta,Manual,1.6,115000,12421.05,particular,6.0,19166.0,1,0
Peugeot,2008,2018.0,negro,Nafta,Manual,1.6,94000,13673.58,concesionaria,6.0,15666.0,1,0
Peugeot,2008,2021.0,negro,Nafta,Automática,1.6,23568,20800.0,particular,3.0,7856.0,1,0
Peugeot,2008,2016.0,negro,Nafta,Manual,1.6,89000,12500.0,particular,8.0,11125.0,1,0
Peugeot,2008,2018.0,azul,Nafta,Automática,1.6,22000,15500.0,concesionaria,6.0,3666.0,1,0
Peugeot,2008,2017.0,negro,Nafta,Manual,1.6,126000,13500.0,concesionaria,7.0,18000.0,1,0
Peugeot,2008,2016.0,gris,Nafta,Manual,1.6,125000,10800.0,concesionaria,8.0,15625.0,1,0
Peugeot,2008,2020.0,marrón,Nafta,Manual,1.6,31000,21000.0,particular,4.0,7750.0,1,0
Peugeot,2008,2016.0,blanco,Nafta,Manual,1.6,17000,13673.68,concesionaria,8.0,2125.0,1,0
Peugeot,2008,2022.0,blanco,Nafta,Automática,1.6,58000,20000.0,tienda,2.0,29000.0,1,0
Peugeot,2008,2017.0,blanco,Nafta,Manual,1.6,140000,17105.26,concesionaria,7.0,20000.0,1,0
Peugeot,2008,2016.0,azul,Nafta,Manual,1.6,75000,13157.89,concesionaria,8.0,9375.0,1,0
Peugeot,2008,2020.0,plata,Nafta,Manual,1.6,30000,18500.0,concesionaria,4.0,7500.0,1,0
Peugeot,2008,2020.0,azul,Nafta,Manual,1.6,53000,17900.0,particular,4.0,13250.0,1,0
Peugeot,2008,2019.0,blanco,Nafta,Manual,1.6,92000,18421.05,concesionaria,5.0,18400.0,1,0
Peugeot,2008,2016.0,gris,Nafta,Manual,1.6,104000,11578.95,particular,8.0,13000.0,1,0
Peugeot,2008,2017.0,dorado,Nafta,Automática,1.6,78000,14631.58,particular,7.0,11142.0,1,0
Peugeot,2008,2020.0,plata,Nafta,Manual,1.6,55000,19000.0,particular,4.0,13750.0,1,0
Peugeot,2008,2017.0,blanco,Nafta,Manual,1.6,105000,14631.58,particular,7.0,15000.0,1,0
Peugeot,2008,2017.0,blanco,Nafta,Manual,1.6,106000,15000.0,particular,7.0,15142.0,1,0
Peugeot,2008,2016.0,negro,Nafta,Manual,1.6,110000,12631.58,particular,8.0,13750.0,1,0
Peugeot,2008,2019.0,negro,Nafta,Manual,1.6,75000,18947.37,particular,5.0,15000.0,1,0
Peugeot,2008,2016.0,blanco,Nafta,Manual,1.6,122000,10736.84,particular,8.0,15250.0,1,0
