Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Título,Precio,Moneda,Tipo de vendedor,Con cámara de retroceso
Chevrolet,Tracker,2023,1.2 Ltz Turbo At,Rojo,Nafta,5.0,Automática,1.2,SUV,0 km,Chevrolet Tracker 1.2 Ltz Turbo At,42100000.0,$,concesionaria,
Chevrolet,Tracker,2020,1.2 Premier Turbo At,Blanco,Nafta,5.0,Automática,1.2,SUV,180000 km,Chevrolet Tracker 1.2 Premier Turbo At,21500.0,U$S,concesionaria,
Chevrolet,Tracker,2024,1.2 Turbo At,,Nafta,5.0,Automática,1.2,SUV,1000 km,Chevrolet Tracker 1.2 Turbo At,28600000.0,$,particular,
Chevrolet,Tracker,2024,1.2 Turbo At,,Nafta,5.0,Automática,1.2,SUV,1 km,Chevrolet Tracker 1.2 Turbo At,24000000.0,$,particular,
Chevrolet,Tracker,2014,1.8 Ltz Awd At 140cv,Blanco,Nafta,5.0,Automática,1.8,SUV,95000 km,Chevrolet Tracker 1.8 Ltz Awd At 140cv,12500000.0,$,particular,No
Chevrolet,Tracker,2020,1.2 Premier Turbo At,,Nafta,5.0,Automática,1.2,SUV,51500 km,Chevrolet Tracker 1.2 Premier Turbo At,24300000.0,$,particular,
Chevrolet,Tracker,2013,1.8 Ltz Fwd Mt 140cv,,Nafta,5.0,Manual,1.8,SUV,121000 km,Chevrolet Tracker 1.8 Ltz Fwd Mt 140cv,10900000.0,$,particular,
Chevrolet,Tracker,2015,1.8 Ltz Fwd Mt 140cv,,Nafta,5.0,Manual,1.8,SUV,98500 km,Chevrolet Tracker 1.8 Ltz Fwd Mt 140cv,13900000.0,$,particular,
Chevrolet,Tracker,2024,1.2 Turbo Mt,,Nafta,5.0,Manual,1.2,SUV,1000 km,Chevrolet Tracker 1.2 Turbo Mt,23000.0,U$S,particular,
Chevrolet,Tracker,2021,1.2 Turbo At,Plateado,Nafta,5.0,Automática,1.2,SUV,60000 km,Chevrolet Tracker 1.2 Turbo At,21500000.0,$,particular,Sí
Chevrolet,Tracker,2016,1.8 Ltz Fwd Mt 140cv,,Nafta,5.0,Manual,1.8,SUV,79000 km,Chevrolet Tracker 1.8 Ltz Fwd Mt 140cv,14900.0,U$S,particular,
Chevrolet,Tracker,2015,1.8 Ltz Fwd Mt 140cv,,Nafta,5.0,Manual,1.8,SUV,105800 km,Chevrolet Tracker 1.8 Ltz Fwd Mt 140cv,13000000.0,$,particular,
Chevrolet,Tracker,2024,1.2 Turbo At,,Nafta,5.0,Automática,1.2,SUV,1000 km,Chevrolet Tracker 1.2 Turbo At,23350.0,U$S,particular,
Chevrolet,Tracker,2016,1.8 Ltz+ Awd At 140cv,,Nafta,5.0,Automática,1.8,SUV,105000 km,Chevrolet Tracker 1.8 Ltz+ Awd At 140cv,16500000.0,$,particular,
Chevrolet,Tracker,2018,1.8 Ltz 140cv,,Nafta,5.0,Automática,1.8,SUV,128000 km,Chevrolet Tracker 1.8 Ltz 140cv,14900.0,U$S,particular,
Chevrolet,Tracker,2015,1.8 Ltz Fwd Mt 140cv,,Nafta,5.0,Manual,1.8,SUV,104000 km,Chevrolet Tracker 1.8 Ltz Fwd Mt 140cv,13500000.0,$,particular,
Chevrolet,Tracker,2019,1.8 Ltz,,Nafta,5.0,Manual,1.8,SUV,80000 km,Chevrolet Tracker 1.8 Ltz,19500000.0,$,particular,
Chevrolet,Tracker,2017,1.8 Ltz 140cv,,Nafta,5.0,Automática,1.8,SUV,66314 km,Chevrolet Tracker 1.8 Ltz 140cv,15000000.0,$,particular,
Chevrolet,Tracker,2016,1.8 Ltz+ Awd At 140cv,,Nafta,5.0,Automática,1.8,SUV,84500 km,Chevrolet Tracker 1.8 Ltz+ Awd At 140cv,15900000.0,$,particular,
Chevrolet,Tracker,2015,1.8 Ltz+ Awd At 140cv,,Nafta,5.0,Automática,1.8,SUV,120000 km,Chevrolet Tracker 1.8 Ltz+ Awd At 140cv,14500.0,U$S,particular,
Chevrolet,Tracker,2017,Ltz+4x4,,Nafta,5.0,Automática,1.8,SUV,103000 km,Chevrolet Tracker Ltz+4x4,17500000.0,$,particular,
Chevrolet,Tracker,2023,1.2 Premier Turbo At,,Nafta,5.0,Automática,1.2,SUV,19000 km,Chevrolet Tracker 1.2 Premier Turbo At,29500.0,U$S,particular,
Chevrolet,Tracker,2016,1.8 Ltz 140cv,,Nafta,5.0,Automática,1.8,SUV,103000 km,Chevrolet Tracker 1.8 Ltz 140cv,13700.0,U$S,particular,
